ぜんこくずかんナンバー,おなまえ,インデックス1,インデックス2,インデックス3,タイプ1,タイプ2,特性1,特性2,隠れ特性,HP,こうげき,ぼうぎょ,とくこう,とくぼう,すばやさ,合計,種族値列,初登場作品,出身地,初登場世代,分類,進化段階,属性1,属性2,属性3,英語名,中国語繁体,英語名由来
241,ミルタンク,,,,ノーマル,,あついしぼう,きもったま,そうしょく,95,80,105,40,70,100,490,95 80 105 40 70 100 合計490,GS,ジョウト,2,ちちうしポケモン,進化しない,,,,Miltank,大奶罐,milk(牛乳) + tank(戦車)
242,ハピナス,ハピ,,,ノーマル,,しぜんかいふく,てんのめぐみ,いやしのこころ,255,10,10,75,135,55,540,255 10 10 75 135 55 合計540,GS,ジョウト,2,しあわせポケモン,最終進化,追加進化,,,Blissey,幸福蛋,bliss(至福、無上の喜び)
243,ライコウ,,,,でんき,,プレッシャー,,せいしんりょく,90,85,75,115,100,115,580,90 85 75 115 100 115 合計580,GS,ジョウト,2,いかずちポケモン,進化しない,準伝説,,,Raikou,雷公,雷 + 皇帝
244,エンテイ,唯一神,,,ほのお,,プレッシャー,,せいしんりょく,115,115,85,90,75,100,580,115 115 85 90 75 100 合計580,GS,ジョウト,2,かざんポケモン,進化しない,準伝説,,,Entei,炎帝,炎 + 帝王
245,スイクン,,,,みず,,プレッシャー,,せいしんりょく,100,75,115,90,115,85,580,100 75 115 90 115 85 合計580,GS,ジョウト,2,オーロラポケモン,進化しない,準伝説,,,Suicune,水君,水 + 君主
246,ヨーギラス,,,,いわ,じめん,こんじょう,,すながくれ,50,64,50,45,50,41,300,50 64 50 45 50 41 合計300,GS,ジョウト,2,いわはだポケモン,進化前,大器晩成,,,Larvitar,幼基拉斯,larva(幼虫) + monitor lizard(オオトカゲ)
247,サナギラス,,,,いわ,じめん,だっぴ,,だっぴ,70,84,70,65,70,51,410,70 84 70 65 70 51 合計410,GS,ジョウト,2,だんがんポケモン,中間進化,大器晩成,,,Pupitar,沙基拉斯,pupa(さなぎ、蛹) + monitor lizard(オオトカゲ)
248,バンギラス,バンギ,,,いわ,あく,すなおこし,,きんちょうかん,100,134,110,95,100,61,600,100 134 110 95 100 61 合計600,GS,ジョウト,2,よろいポケモン,最終進化,大器晩成,,,Tyranitar,班基拉斯,tyrannosaurus(ティラノサウルス) + monitor lizard(オオトカゲ)
248.1,メガバンギラス,メガバンギ,,,いわ,あく,すなおこし,,,100,164,150,95,120,71,700,100 164 150 95 120 71 合計700,XY,カロス,6,よろいポケモン,最終進化,大器晩成,メガシンカ,,,,
249,ルギア,,,,エスパー,ひこう,プレッシャー,,マルチスケイル,106,90,130,90,154,110,680,106 90 130 90 154 110 合計680,GS,ジョウト,2,せんすいポケモン,進化しない,禁止級伝説,,,Lugia,洛奇亞,luego(ラテン語で眠る) + argentum(ラテン語で銀)
250,ホウオウ,,,,ほのお,ひこう,プレッシャー,,さいせいりょく,106,130,90,110,154,90,680,106 130 90 110 154 90 合計680,GS,ジョウト,2,にじいろポケモン,進化しない,禁止級伝説,,,Ho-Oh,鳳王,鳳凰
251,セレビィ,セレビー,,,エスパー,むし,しぜんかいふく,,,100,100,100,100,100,100,600,100 100 100 100 100 100 合計600,GS,ジョウト,2,ときわたりポケモン,進化しない,幻のポケモン,,,Celebi,時拉比,celestial(天使、点の、神々しい) + being(存在)
252,キモリ,,,,くさ,,しんりょく,,かるわざ,40,45,35,65,55,70,310,40 45 35 65 55 70 合計310,RS,ホウエン,3,もりトカゲポケモン,進化前,パートナーポケモン,,,Treecko,木守宮,tree(木) + gecko(ヤモリ)
253,ジュプトル,,,,くさ,,しんりょく,,かるわざ,50,65,45,85,65,95,405,50 65 45 85 65 95 合計405,RS,ホウエン,3,もりトカゲポケモン,中間進化,パートナーポケモン,,,Grovyle,森林蜥蜴,grove(小さい森、果樹園) + reptile(は虫類)
254,ジュカイン,,,,くさ,,しんりょく,,かるわざ,70,85,65,105,85,120,530,70 85 65 105 85 120 合計530,RS,ホウエン,3,みつりんポケモン,最終進化,パートナーポケモン,,,Sceptile,蜥蜴王,sceptridium ternatum(フユノハナワラビ) + reptile(は虫類)
254.1,メガジュカイン,メガジュカ,,,くさ,ドラゴン,ひらいしん,,,70,110,75,145,85,145,630,70 110 75 145 85 145 合計630,ORAS,ホウエン,6,みつりんポケモン,最終進化,パートナーポケモン,メガシンカ,,,,
255,アチャモ,,,,ほのお,,もうか,,かそく,45,60,40,70,50,45,310,45 60 40 70 50 45 合計310,RS,ホウエン,3,ひよこポケモン,進化前,パートナーポケモン,,,Torchic,火稚雞,torch(たいまつ、懐中電灯) + chick(ひよこ)
256,ワカシャモ,,,,ほのお,かくとう,もうか,,かそく,60,85,60,85,60,55,405,60 85 60 85 60 55 合計405,RS,ホウエン,3,わかどりポケモン,中間進化,パートナーポケモン,,,Combusken,力壯雞,combustion(燃焼、大騒ぎ) + chicken(ニワトリ、鶏肉)
257,バシャーモ,バシャ,馬車,,ほのお,かくとう,もうか,,かそく,80,120,70,110,70,80,530,80 120 70 110 70 80 合計530,RS,ホウエン,3,もうかポケモン,最終進化,パートナーポケモン,,,Blaziken,火焰雞,blaze(炎、火炎) + chicken(ニワトリ、鶏肉)
257.1,メガバシャーモ,メガバシャ,,,ほのお,かくとう,かそく,,,80,160,80,130,80,100,630,80 160 80 130 80 100 合計630,XY,カロス,6,もうかポケモン,最終進化,パートナーポケモン,メガシンカ,,,,
258,ミズゴロウ,,,,みず,,げきりゅう,,しめりけ,50,70,50,50,50,40,310,50 70 50 50 50 40 合計310,RS,ホウエン,3,ぬまうおポケモン,進化前,パートナーポケモン,,,Mudkip,水躍魚,mudskipper(ムツゴロウ)
259,ヌマクロー,,,,みず,じめん,げきりゅう,,しめりけ,70,85,70,60,70,50,405,70 85 70 60 70 50 合計405,RS,ホウエン,3,ぬまうおポケモン,中間進化,パートナーポケモン,,,Marshtomp,沼躍魚,marsh(沼地、湿地帯) + stomp(足を踏みならす)
260,ラグラージ,ラグ,,,みず,じめん,げきりゅう,,しめりけ,100,110,90,85,90,60,535,100 110 90 85 90 60 合計535,RS,ホウエン,3,ぬまうおポケモン,最終進化,パートナーポケモン,,,Swampert,巨沼怪,swamp(沼) + expert(エキスパート、専門家)
260.1,メガラグラージ,メガラグ,,,みず,じめん,すいすい,,,100,150,110,95,110,70,635,100 150 110 95 110 70 合計635,ORAS,ホウエン,6,ぬまうおポケモン,最終進化,パートナーポケモン,メガシンカ,,,,
261,ポチエナ,,,,あく,,にげあし,はやあし,びびり,35,55,35,30,30,35,220,35 55 35 30 30 35 合計220,RS,ホウエン,3,かみつきポケモン,進化前,,,,Poochyena,土狼犬,pooch(犬) + hyena(ハイエナ)
262,グラエナ,,,,あく,,いかく,はやあし,じしんかじょう,70,90,70,60,60,70,420,70 90 70 60 60 70 合計420,RS,ホウエン,3,かみつきポケモン,最終進化,,,,Mightyena,大狼犬,mighty(力強い、強力な) + hyena(ハイエナ)
263,ジグザグマ,,,,ノーマル,,ものひろい,くいしんぼう,はやあし,38,30,41,30,41,60,240,38 30 41 30 41 60 合計240,RS,ホウエン,3,まめだぬきポケモン,進化前,序盤ノーマル,,,Zigzagoon,蛇紋熊,zigzag(ジグザグ) + raccoon dog(タヌキ)
263.1,ジグザグマ(ガラルのすがた),ガラルジグザグマ,,,あく,ノーマル,ものひろい,くいしんぼう,はやあし,38,30,41,30,41,60,240,38 30 41 30 41 60 合計240,SWSH,ガラル,8,まめだぬきポケモン,進化前,序盤ノーマル,リージョンフォーム,,,,
264,マッスグマ,神,,,ノーマル,,ものひろい,くいしんぼう,はやあし,78,70,61,50,61,100,420,78 70 61 50 61 100 合計420,RS,ホウエン,3,とっしんポケモン,中間進化,序盤ノーマル,,,Linoone,直衝熊,line(線) + raccoon dog(タヌキ)
264.1,マッスグマ(ガラルのすがた),ガラルマッスグマ,,,あく,ノーマル,ものひろい,くいしんぼう,はやあし,78,70,61,50,61,100,420,78 70 61 50 61 100 合計420,SWSH,ガラル,8,とっしんポケモン,中間進化,序盤ノーマル,リージョンフォーム,,,,
265,ケムッソ,,,,むし,,りんぷん,,にげあし,45,45,35,20,30,20,195,45 45 35 20 30 20 合計195,RS,ホウエン,3,いもむしポケモン,進化前,序盤虫,,,Wurmple,刺尾蟲,worm(毛虫) + rumple(しわくちゃにする)
266,カラサリス,,,,むし,,だっぴ,,だっぴ,50,35,55,25,25,15,205,50 35 55 25 25 15 合計205,RS,ホウエン,3,さなぎポケモン,中間進化,序盤虫,,,Silcoon,甲殼繭,silk(絹、シルク) + cocoon(繭、マユ)
267,アゲハント,,,,むし,ひこう,むしのしらせ,,とうそうしん,60,70,50,100,50,65,395,60 70 50 100 50 65 合計395,RS,ホウエン,3,ちょうちょポケモン,最終進化,序盤虫,,,Beautifly,狩獵鳳蝶,beautiful(美しい) + butterfly(蝶)
268,マユルド,,,,むし,,だっぴ,,だっぴ,50,35,55,25,25,15,205,50 35 55 25 25 15 合計205,RS,ホウエン,3,さなぎポケモン,中間進化,序盤虫,,,Cascoon,盾甲繭,cask(樽、大だる) + cocoon(繭、マユ)
269,ドクケイル,,,,むし,どく,りんぷん,,ふくがん,60,50,70,50,90,65,385,60 50 70 50 90 65 合計385,RS,ホウエン,3,どくがポケモン,最終進化,序盤虫,,,Dustox,毒粉蛾,dust(埃、ほこり) + toxic(有毒な)
270,ハスボー,,,,みず,くさ,すいすい,あめうけざら,マイペース,40,30,30,40,50,30,220,40 30 30 40 50 30 合計220,RS,ホウエン,3,うきくさポケモン,進化前,,,,Lotad,蓮葉童子,lotus(ハス、スイレン) + lily pad(スイレンの葉)
271,ハスブレロ,,,,みず,くさ,すいすい,あめうけざら,マイペース,60,50,50,60,70,50,340,60 50 50 60 70 50 合計340,RS,ホウエン,3,ようきポケモン,中間進化,,,,Lombre,蓮帽小童,lotus(ハス、スイレン) + sombrero(麦わら帽)
272,ルンパッパ,,,,みず,くさ,すいすい,あめうけざら,マイペース,80,70,70,90,100,70,480,80 70 70 90 100 70 合計480,RS,ホウエン,3,のうてんきポケモン,最終進化,,,,Ludicolo,樂天河童,ludicrous(ばかげた、こっけいな) + colocynth(コロシント:苦いスイカ)
273,タネボー,,,,くさ,,ようりょくそ,はやおき,わるいてぐせ,40,40,50,30,30,30,220,40 40 50 30 30 30 合計220,RS,ホウエン,3,どんぐりポケモン,進化前,,,,Seedot,橡實果,seed(種) + tot(小児、一口)
274,コノハナ,,,,くさ,あく,ようりょくそ,はやおき,わるいてぐせ,70,70,40,60,40,60,340,70 70 40 60 40 60 合計340,RS,ホウエン,3,いじわるポケモン,中間進化,,,,Nuzleaf,長鼻葉,nuzzle(鼻をすり寄せる) + leaf(葉)
275,ダーテング,,,,くさ,あく,ようりょくそ,はやおき,わるいてぐせ,90,100,60,90,60,80,480,90 100 60 90 60 80 合計480,RS,ホウエン,3,よこしまポケモン,最終進化,,,,Shiftry,狡猾天狗,shifty(不誠実な、ずるそうな) + tree(木)
276,スバメ,,,,ノーマル,ひこう,こんじょう,,きもったま,40,55,30,30,30,85,270,40 55 30 30 30 85 合計270,RS,ホウエン,3,こツバメポケモン,進化前,序盤飛行,,,Taillow,傲骨燕,tail(尻尾) + swallow(ツバメ、飲み込む)
277,オオスバメ,,,,ノーマル,ひこう,こんじょう,,きもったま,60,85,60,75,50,125,455,60 85 60 75 50 125 合計455,RS,ホウエン,3,ツバメポケモン,最終進化,序盤飛行,,,Swellow,大王燕,swell(膨れる、増加する) + swallow(ツバメ、飲み込む)
278,キャモメ,,,,みず,ひこう,するどいめ,うるおいボディ,あめうけざら,40,30,30,55,30,85,270,40 30 30 55 30 85 合計270,RS,ホウエン,3,うみねこポケモン,進化前,序盤飛行,,,Wingull,長翅鷗,wing(翼) + gull(カモメ)
279,ペリッパー,ペリ,,,みず,ひこう,するどいめ,あめふらし,あめうけざら,60,50,100,95,70,65,440,60 50 100 95 70 65 合計440,RS,ホウエン,3,みずどりポケモン,最終進化,序盤飛行,,,Pelipper,大嘴鷗,pelican(ペリカン) + flipper(ひれ状の足)
280,ラルトス,,,,エスパー,フェアリー,シンクロ,トレース,テレパシー,28,25,25,45,35,40,198,28 25 25 45 35 40 合計198,RS,ホウエン,3,きもちポケモン,進化前,,,,Ralts,拉魯拉絲,astral(星の、星形の) + waltz(ワルツ、円舞曲)
281,キルリア,,,,エスパー,フェアリー,シンクロ,トレース,テレパシー,38,35,35,65,55,50,278,38 35 35 65 55 50 合計278,RS,ホウエン,3,かんじょうポケモン,中間進化,,,,Kirlia,奇魯莉安,Kirlian photograph(キルリアン写真)
282,サーナイト,サナ,,,エスパー,フェアリー,シンクロ,トレース,テレパシー,68,65,65,125,115,80,518,68 65 65 125 115 80 合計518,RS,ホウエン,3,ほうようポケモン,最終進化,,,,Gardevoir,沙奈朵,guard(守る、防衛する) + devoir(敬意)
282.1,メガサーナイト,メガサナ,,,エスパー,フェアリー,フェアリースキン,,,68,85,65,165,135,100,618,68 85 65 165 135 100 合計618,XY,カロス,6,ほうようポケモン,最終進化,,メガシンカ,,,,
283,アメタマ,,,,むし,みず,すいすい,,あめうけざら,40,30,32,50,52,65,269,40 30 32 50 52 65 合計269,RS,ホウエン,3,あめんぼポケモン,進化前,,,,Surskit,溜溜糖球,surface(水上、表面) + skitter(速やかに進む)
284,アメモース,,,,むし,ひこう,いかく,,きんちょうかん,70,60,62,100,82,80,454,70 60 62 100 82 80 合計454,RS,ホウエン,3,めだまポケモン,最終進化,,,,Masquerain,雨翅蛾,masquerade(仮面舞踏会、見せかけ) + rain(雨)
285,キノココ,,,,くさ,,ほうし,ポイズンヒール,はやあし,60,40,60,40,60,35,295,60 40 60 40 60 35 合計295,RS,ホウエン,3,きのこポケモン,進化前,,,,Shroomish,蘑蘑菇,mushroom(キノコ) + ish(形容詞語尾: ～のような)
286,キノガッサ,ガッサ,,,くさ,かくとう,ほうし,ポイズンヒール,テクニシャン,60,130,80,60,60,70,460,60 130 80 60 60 70 合計460,RS,ホウエン,3,きのこポケモン,最終進化,,,,Breloom,斗笠菇,umbrella(傘) + mushroom(キノコ)
287,ナマケロ,,,,ノーマル,,なまけ,,,60,60,60,35,35,30,280,60 60 60 35 35 30 合計280,RS,ホウエン,3,なまけものポケモン,進化前,,,,Slakoth,懶人獺,slack(のろい、緩い) + sloth(ナマケモノ、怠惰)
288,ヤルキモノ,,,,ノーマル,,やるき,,,80,80,80,55,55,90,440,80 80 80 55 55 90 合計440,RS,ホウエン,3,あばれザルポケモン,中間進化,,,,Vigoroth,過動猿,vigorous(精力的な、強健な) + sloth(ナマケモノ、怠惰)
289,ケッキング,,,,ノーマル,,なまけ,,,150,160,100,95,65,100,670,150 160 100 95 65 100 合計670,RS,ホウエン,3,ものぐさポケモン,最終進化,,,,Slaking,請假王,slack(のろい、緩い) + king(王、王様)
290,ツチニン,,,,むし,じめん,ふくがん,,にげあし,31,45,90,30,30,40,266,31 45 90 30 30 40 合計266,RS,ホウエン,3,したづみポケモン,進化前,,,,Nincada,土居忍士,ninja(忍者) + cicada(蝉)
291,テッカニン,,,,むし,ひこう,かそく,,すりぬけ,61,90,45,50,50,160,456,61 90 45 50 50 160 合計456,RS,ホウエン,3,しのびポケモン,最終進化,,,,Ninjask,鐵面忍者,ninja(忍者) + mask(仮面)
292,ヌケニン,,,,むし,ゴースト,ふしぎなまもり,,ふしぎなまもり,1,90,45,30,30,40,236,1 90 45 30 30 40 合計236,RS,ホウエン,3,ぬけがらポケモン,最終進化,,,,Shedinja,脫殼忍者,shed(脱ぐ、落とす) + ninja(忍者) 
293,ゴニョニョ,,,,ノーマル,,ぼうおん,,びびり,64,51,23,51,23,28,240,64 51 23 51 23 28 合計240,RS,ホウエン,3,ささやきポケモン,進化前,,,,Whismur,咕妞妞,whisper(ささやく、ひそひそ話をする) + murmur(かすかな音、かすかな人声)
294,ドゴーム,,,,ノーマル,,ぼうおん,,きもったま,84,71,43,71,43,48,360,84 71 43 71 43 48 合計360,RS,ホウエン,3,おおごえポケモン,中間進化,,,,Loudred,吼爆彈,loud(騒がしい、うるさい) + dread(恐怖、怖がる)
295,バクオング,,,,ノーマル,,ぼうおん,,きもったま,104,91,63,91,73,68,490,104 91 63 91 73 68 合計490,RS,ホウエン,3,そうおんポケモン,最終進化,,,,Exploud,爆音怪,explode(爆音、爆発) + loud(騒がしい、うるさい)
296,マクノシタ,,,,かくとう,,あついしぼう,こんじょう,ちからずく,72,60,30,20,30,25,237,72 60 30 20 30 25 合計237,RS,ホウエン,3,こんじょうポケモン,進化前,,,,Makuhita,幕下力士,幕下
297,ハリテヤマ,,,,かくとう,,あついしぼう,こんじょう,ちからずく,144,120,60,40,60,50,474,144 120 60 40 60 50 合計474,RS,ホウエン,3,つっぱりポケモン,最終進化,,,,Hariyama,鐵掌力士,張り手 + 山
298,ルリリ,,,,ノーマル,フェアリー,あついしぼう,ちからもち,そうしょく,50,20,40,20,40,20,190,50 20 40 20 40 20 合計190,RS,ホウエン,3,みずたまポケモン,進化前,ベイビィポケモン,,,Azurill,露力麗,azure(空色、青空) + rill(小川、細流)
299,ノズパス,,,,いわ,,がんじょう,じりょく,すなのちから,30,45,135,45,90,30,375,30 45 135 45 90 30 合計375,RS,ホウエン,3,コンパスポケモン,進化前,,,,Nosepass,朝北鼻,nose(鼻) compass(コンパス)
300,エネコ,,,,ノーマル,,メロメロボディ,ノーマルスキン,ミラクルスキン,50,45,45,35,35,50,260,50 45 45 35 35 50 合計260,RS,ホウエン,3,こねこポケモン,進化前,,,,Skitty,向尾喵,skittish(おてんば、ものに驚きやすい) + kitty(子猫)
